Name,Date,Prev_close,Close,Per_diff
ORIENTPPR,03-08-2020 00:00,18,18.15,0.833333333
ORIENTPPR,01-09-2020 00:00,18.15,16.45,-9.366391185
ORIENTPPR,01-10-2020 00:00,16.45,16,-2.73556231
ORIENTPPR,02-11-2020 00:00,16,18.3,14.375
ORIENTPPR,01-12-2020 00:00,18.3,20.85,13.93442623
ORIENTPPR,01-01-2021 00:00,20.85,20.6,-1.199040767
ORIENTPPR,01-02-2021 00:00,20.6,25.6,24.27184466
ORIENTPPR,01-03-2021 00:00,25.6,24.6,-3.90625
ORIENTPPR,01-04-2021 00:00,24.6,22.95,-6.707317073
ORIENTPPR,03-05-2021 00:00,22.95,28.15,22.65795207
ORIENTPPR,01-06-2021 00:00,28.15,30.15,7.104795737
ORIENTPPR,01-07-2021 00:00,30.15,31.55,4.64344942
ORIENTPPR,02-08-2021 00:00,31.55,28.85,-8.557844691
ORIENTPPR,01-09-2021 00:00,28.85,30.65,6.239168111
ORIENTPPR,01-10-2021 00:00,30.65,30.65,0
ORIENTPPR,01-11-2021 00:00,30.65,30.3,-1.141924959
ORIENTPPR,01-12-2021 00:00,30.3,31.55,4.125412541
ORIENTPPR,03-01-2022 00:00,31.55,31.4,-0.475435816
ORIENTPPR,01-02-2022 00:00,31.4,31.45,0.159235669
ORISSAMINE,01-01-2020 00:00,1281.5,1964.95,53.33203277
ORISSAMINE,01-02-2020 00:00,1964.95,1748.1,-11.03590422
ORISSAMINE,02-03-2020 00:00,1748.1,936.6,-46.42182941
ORISSAMINE,01-04-2020 00:00,936.6,1383.8,47.74717062
ORISSAMINE,04-05-2020 00:00,1383.8,1484.65,7.287902876
ORISSAMINE,01-06-2020 00:00,1484.65,1599.2,7.715623211
ORISSAMINE,01-07-2020 00:00,1599.2,1754.75,9.726738369
ORISSAMINE,03-08-2020 00:00,1754.75,2415.65,37.66348483
ORISSAMINE,01-09-2020 00:00,2415.65,2218.6,-8.157224764
ORISSAMINE,01-10-2020 00:00,2218.6,2124.75,-4.230145137
ORISSAMINE,02-11-2020 00:00,2124.75,2606.95,22.69443464
ORISSAMINE,01-12-2020 00:00,2606.95,2534.4,-2.782945588
ORISSAMINE,01-01-2021 00:00,2534.4,2337.25,-7.77896149
